"source","pagePath","visits"
"google","/diplomaengineeringcollege/f-d-mubin-institute-of-engineering-technology-dehgam-",1
"google","/diploma-colleges-list",2
"google","/",17
"google","/d2d-engineering-colleges-list",1
"google","/bindingcollegedetails.php",1
"google","/bindingcollegedetails.php",1
"google","/me-mtech-colleges-list",1
"google","/me-mtech-colleges",1
"google","/MBA-MCA/j-h-patel-college-of-management-technology-sfi-christipura-dahemi-",1
"google","/newmecollege.php",1
"google","/engineeringcollege/takshashila-college-of-engineering-technology-rajkot",3
"google","/MBA-MCA/veerayatan-group-of-institutions-faculty-of-engineering-faculty-of-management-sfi-",1
"(direct)","/",1
"(direct)","/engineering-colleges-list",1
"ask","/",1
"buzzdock.com","/search.php",1
"google","/diplomaengineeringcollege/arpit-institute-of-engineering-technology-diploma-hadala-",1
"google","/diplomaengineeringcollege/balaji-institute-of-engineering-technology-junagadh-",1
"google","/pharmacycollege/c-u-shah-college-of-pharmacy-wadhwan",1
"google","/diplomaengineeringcollege/d-a-diploma-engineering-technology-mahemdavad-",1
"google","/diploma-colleges-list",1
"google","/",22
"google","/new_mba_college_list.php",1
"google","/merit-calculator",1
"google","/MBA-MCA/param-institute-of-management-research-sfi-lakhabavad-road-jamnagar-",1
"google","/MBA-MCA/rajiv-gandhi-college-of-management-sfi-balasinor-kheda-",1
"google","/MBA-MCA/sardar-patel-college-of-administration-management-spcam-mba-sfi-bakrol-anand",1
"google","/medicalcollege/shree-sahajanand-institute-of-nursing-bhavnagar",1
"google","/engineeringcollege/takshashila-college-of-engineering-technology-rajkot",1
"(direct)","/",2
"(direct)","/index.php",1
"(direct)","/me-mtech-intake/alpha-college-of-engineering-technology-new-v-v-nagar",1
"(direct)","/mpharm/ghb-pharmacy-college-aniyad2712",1
"facebook.com","/",1
"google","/diplomaengineeringcollege/atmiya-institute-junagadh-",1
"google","/diplomaengineeringcollege/butler-polytechnic-vadodara-",1
"google","/MBA-MCA/d-l-patel-institute-of-management-technology-mba-programme-sfi-himmatnagar",2
"google","/MBA-MCA/dr-bharat-barad-institute-of-management-computer-science-sutrapada-sfi-",1
"google","/bindingmedical.php",1
"google","/",21
"google","/diplomaengineeringcollege/government-polytechnic-bhuj-",1
"google","/me-mtech-colleges-list",2
"google","/MBA-MCA-intake/n-j-sonecha-institute-of-management-veraval",1
"google","/newmecollege.php",1
"google","/MBA-MCA/r-b-institute-of-management-studies-sfi-ahmedabad-",1
"google","/architecture-college/school-of-design-architecture-bhayli-vadodara-",2
"google","/d2dpharmacy/sharda-school-of-pharmacy-pethapur",1
"google","/medicalcollege/shree-babubhai-girdharbhai-patel-physiotherapy-college-anand",1
"google","/d2dpharmacy/shree-swaminarayan-college-of-pharmacy-kalol",1
"google","/diplomaengineeringcollege/sigma-institute-of-technology-engineering-polytechnic-bakorl-baroda-",2
"google","/d2dpharmacy/smt-r-b-patel-mahila-pharmacy-college-atkot-dist-rajkot-for-girls-",1
"google","/diplomaengineeringcollege/smt-r-s-patel-institute-of-diploma-engineering-shelavi-patan-",1
"google","/diplomaengineeringcollege/tolani-foundation-gandhidham-polytechnic-adipur-",1
"google.co.in","/me-mtech-colleges-list",1
"googleads.g.doubleclick.net","/",1
"m.facebook.com","/",1
"sites.google.com","/",1
"(direct)","/engineering-admission-possibilities",1
"(direct)","/",10
"(direct)","/MBA-MCA-intake/m-s-patel-institute-of-management-studies-the-m-s-university-of-baroda-gia-",1
"ask","/",1
"facebook.com","/",2
"google","/MBA-MCA/oxford-school-of-anagement-sfi",1
"google","/MBA-MCA/c-k-pithawalla-institute-of-management-surat-sfi-",1
"google","/pharmacycollege/chinmay-institute-of-pharmacy-gandhinagar9547",1
"google","/MBA-MCA/chaudhari-technical-institute-mba-womens-sfi-",1
"google","/bindingdiploma.php",1
"google","/",20
"google","/diplomaengineeringcollege/government-polytechnic-vadnagar",1
"google","/d2d-engineering-colleges-list rajkot",1
"google","/bindingcollegedetails.php",1
"google","/gujarat-mca-colleges-list",1
"google","/me-mtech-colleges-list",1
"google","/diplomaengineeringcollege/jayvantrai-harrai-desai-polytechnic",1
"google","/MBA-MCA/k-p-patel-school-of-management-and-computer-studies-ksmcs-mba-programmme-sfi-",1
"google","/engineeringcollege/l-j-institute-of-engineering-technology-ahmedabad",1
"google","/diplomaengineeringcollege/m-l-institute-of-diploma-studies-bhandu-",1
"google","/MBA-MCA/m-s-patel-institute-of-management-studies-the-m-s-university-of-baroda-gia-",1
"google","/merit-calculator",2
"google","/newmecollege.php",1
"google","/diplomaengineeringcollege/om-institute-of-engineering-technology-junagadh-",1
"google","/MBA-MCA/sardar-patel-college-of-administration-management-spcam-mba-sfi-bakrol-anand",1
"google","/diplomaengineeringcollege/shree-hari-polytechnic-institute-nani-kadi-",1
"google","/MBA-MCA/shree-swaminarayan-institute-of-management-i-t-porbandar-sfi-",1
"google","/pharmacycollege/shree-swaminarayan-sanskar-pharmacy-college-zundal",1
"google","/diplomaengineeringcollege/swaminarayan-college-of-engineering-saij-kalol-",1
"google.co.in","/",2
"gtuzone.blogspot.in","/",1
"in.mg61.mail.yahoo.com","/",2
"us.mc1217.mail.yahoo.com","/",1
"(direct)","/engineering-admission-possibilities",1
"(direct)","/",3
"(direct)","/me-mtech/b-h-gardi-college-of-engineering-technology-rajkot",1
"36ohk6dgmcd1n-c.c.yom.mail.yahoo.net","/",1
"babylon","/",1
"babylon","/merit-calculator",1
"google","/engineeringcollege/arun-munchhala-engineering-college-amreli-",2
"google","/diplomaengineeringcollege/atul-polytechnic-gandhinagar",1
"google","/MBA-MCA/centre-for-management-studies-dharmsinh-desai-university-nadiad-gia-",1
"google","/MBA-MCA/d-l-patel-institute-of-management-technology",1
"google","/pharmacycollege/dharmaj-degree-pharmacy-college",1
"google","/diplomaengineeringcollege/darshan-institute-of-engineering-technology-for-diploma-studies-rajkot",1
"google","/architecture-college/faculty-of-architecture-b-arch-cept-university",1
"google","/medical-colleges-list",2
"google","/",17
"google","/search",1
